id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count,average_rating,total_reviews,normalized_rating,rounded_normalized_rating,normalized_total_reviews,rounded_normalized_total_reviews
8FGizWqfHi9XBL2R6J5uJg,Lauriol Plaza,2269,3.5,$$,Mexican,"['Mexican', 'Latin American', 'Spanish']",https://www.yelp.com/biz/lauriol-plaza-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,4055.0,4.0771,6324.0,62.55403769669721,62.55,19.21664228831464,19.22
a-5Jd4irVqkaxRs-AQ-HGw,Rose's Luxury,2264,4.5,$$$$,American,"['American', 'Italian', 'Tapas/Small Plates']",https://www.yelp.com/biz/roses-luxury-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,1475.0,4.5789,3739.0,84.24693065882761,84.25,10.814236957581667,10.81
d82VK9Ve7hq1WROlsA4fIA,Pupatella,2229,4.0,$$,Pizza,"['Pizza', 'Italian', 'Gelato']",https://www.yelp.com/biz/pupatella-arlington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,195.0,4.0161,2424.0,59.916998097873076,59.92,6.5398992361449695,6.54
GlAT_ksg5ftJ87PXwXmoVA,Fogo de Chão Brazilian Steakhouse,2228,4.0,$$$,Other,"['Brazilian', 'Steakhouses']",https://www.yelp.com/biz/fogo-de-chao-brazilian-steakhouse-washington-10?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,6201.0,4.4414,8429.0,78.30278402213384,78.3,26.058833089549815,26.06
-pVzxPgFD4zfJ-SHL2u_Dw,Taco Bamba,2209,4.5,$,Breakfast & Brunch,"['Tacos', 'Breakfast & Brunch']",https://www.yelp.com/biz/taco-bamba-falls-church?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,1025.0,4.4683,3234.0,79.46567525505795,79.47,9.172761254672517,9.17
VlDWu_ftKpLmWoC0x7x1dA,Pisco y Nazca,2209,4.5,$$,Cocktail Bars,"['Peruvian', 'Cocktail Bars']",https://www.yelp.com/biz/pisco-y-nazca-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.8,7587.0,4.7323,9796.0,90.87843679750996,90.88,30.502194051682107,30.5
waqeV74OenbbneTvlJdkgw,Kabob Palace,2166,4.0,$$,Other,"['Afghan', 'Halal', 'Pakistani']",https://www.yelp.com/biz/kabob-palace-arlington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.0,4978.0,4.0,7144.0,59.22099256441293,59.22,21.882008776206728,21.88
xREl51IJyuasOY7btHICKw,Palette 22,2147,4.5,$$,Bars,"['Bars', 'Breakfast & Brunch', 'Tapas/Small Plates']",https://www.yelp.com/biz/palette-22-arlington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,2304.0,4.5,4451.0,80.83607124329933,80.84,13.128555176336745,13.13
IHu0OfnZrLSFh0QZf0fgFA,Ted's Bulletin,2112,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'American', 'Comfort Food']",https://www.yelp.com/biz/teds-bulletin-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,4518.0,4.3407,6630.0,73.94950717620613,73.95,20.211279050869493,20.21
Ygce6oUeuww37_loxq264g,Barcelona Wine Bar,2111,4.0,$$,Other,"['Tapas/Small Plates', 'Wine Bars', 'Spanish']",https://www.yelp.com/biz/barcelona-wine-bar-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,2957.0,4.2917,5068.0,71.83122946567524,71.83,15.134080936128719,15.13
