,id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count
34,a-5Jd4irVqkaxRs-AQ-HGw,Rose's Luxury,2287,4.5,$$$$,New American,"['New American', 'Italian', 'Tapas/Small Plates']",https://www.yelp.com/biz/roses-luxury-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,1525.0
35,8FGizWqfHi9XBL2R6J5uJg,Lauriol Plaza,2273,3.5,$$,Mexican,"['Mexican', 'Latin American', 'Spanish']",https://www.yelp.com/biz/lauriol-plaza-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,4114.0
36,d82VK9Ve7hq1WROlsA4fIA,Pupatella,2243,4.0,$$,Pizza,"['Pizza', 'Italian', 'Gelato']",https://www.yelp.com/biz/pupatella-arlington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,218.0
37,GlAT_ksg5ftJ87PXwXmoVA,Fogo de Chão Brazilian Steakhouse,2227,4.0,$$$,Brazilian,"['Brazilian', 'Steakhouses']",https://www.yelp.com/biz/fogo-de-chao-brazilian-steakhouse-washington-10?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,6432.0
38,-pVzxPgFD4zfJ-SHL2u_Dw,Taco Bamba,2217,4.5,$$,Tacos,"['Tacos', 'Breakfast & Brunch']",https://www.yelp.com/biz/taco-bamba-falls-church?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,3.7,16.0
39,xREl51IJyuasOY7btHICKw,Palette 22,2217,4.5,$$,Bars,"['Bars', 'Breakfast & Brunch', 'Tapas/Small Plates']",https://www.yelp.com/biz/palette-22-arlington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,2448.0
40,waqeV74OenbbneTvlJdkgw,Kabob Palace,2189,4.0,$$,Afghan,"['Afghan', 'Halal', 'Pakistani']",https://www.yelp.com/biz/kabob-palace-arlington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.0,5121.0
41,oXdLd4LNWEcgSqPLcsVO9A,Ambar,2144,4.5,$$$,Modern European,['Modern European'],https://www.yelp.com/biz/ambar-washington-5?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,2918.0
42,Ygce6oUeuww37_loxq264g,Barcelona Wine Bar,2136,4.0,$$,Tapas/Small Plates,"['Tapas/Small Plates', 'Wine Bars', 'Spanish']",https://www.yelp.com/biz/barcelona-wine-bar-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,3061.0
43,IHu0OfnZrLSFh0QZf0fgFA,Ted's Bulletin,2135,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'New American', 'Comfort Food']",https://www.yelp.com/biz/teds-bulletin-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,4652.0
44,LhVZjnt_W_RGymDCGJZVBw,Hot N Juicy Crawfish,2080,4.0,$$$,Seafood,"['Seafood', 'Cajun/Creole']",https://www.yelp.com/biz/hot-n-juicy-crawfish-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,2753.0
45,M_duatTMdDsNtQJQJcLOtw,Good Stuff Eatery,2035,3.5,$$,Burgers,['Burgers'],https://www.yelp.com/biz/good-stuff-eatery-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,2267.0
46,Ek_-kvajIvVJbi3ll4pMww,Pho 75,2027,4.0,$$,Vietnamese,"['Vietnamese', 'Noodles']",https://www.yelp.com/biz/pho-75-arlington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,2020.0
47,56eh2_ZImiSYeZ6qexhnmA,Kramers,2015,3.5,$$,Bookstores,"['Bookstores', 'New American', 'Bars']",https://www.yelp.com/biz/kramers-washington-4?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,4015.0
48,VVEZ3fYbe0W4Td0Q2WCoJg,Succotash - National Harbor,2002,4.0,$$,Southern,"['Southern', 'American', 'Breakfast & Brunch']",https://www.yelp.com/biz/succotash-national-harbor-national-harbor-4?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,3729.0
49,qKoY2Yf8XBe8iB86OB-X9A,JINYA Ramen Bar - Fairfax,1977,4.0,$$,Ramen,"['Ramen', 'Salad', 'Noodles']",https://www.yelp.com/biz/jinya-ramen-bar-fairfax-fairfax?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,4139.0
50,Ej_S0TYGWOGi9LPdDz7DKA,Ambar,1935,4.5,$$$,Modern European,['Modern European'],https://www.yelp.com/biz/ambar-arlington-5?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,2918.0
51,sVCX7I3UjY9x54ENYGvMlw,Cuba Libre Restaurant & Rum Bar,1934,3.5,$$,Cuban,"['Cuban', 'Latin American', 'Dance Clubs']",https://www.yelp.com/biz/cuba-libre-restaurant-and-rum-bar-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,4681.0
